linked,stock_link_ratio,subsector,name,min_lifetime,max_lifetime,source,additional_description,demand_tech_unit_type,unit,time_unit,cost_of_capital,stock_decay_function,mean_lifetime,lifetime_variance,shape,max_lead_hours,max_lag_hours
,,commercial refrigeration,High Efficiency Commercial Ice-Machines,4.25,12.75,Data used in support of AEO 2015 from the National Energy Modeling System: Input filenames “ktek.txt”,,service demand,kiloBtu,hour,,weibull,,,,,
,,commercial refrigeration,Reference Commercial Beverage Merchandisers,7.5,22.5,Data used in support of AEO 2015 from the National Energy Modeling System: Input filenames “ktek.txt”,,service demand,kiloBtu,hour,,weibull,,,,,
,,commercial refrigeration,High Efficiency Commercial Beverage Merchandisers,7.5,22.5,Data used in support of AEO 2015 from the National Energy Modeling System: Input filenames “ktek.txt”,,service demand,kiloBtu,hour,,weibull,,,,,
,,commercial refrigeration,Reference Commercial Refrigerated Vending Machines,5.0,15.0,Data used in support of AEO 2015 from the National Energy Modeling System: Input filenames “ktek.txt”,,service demand,kiloBtu,hour,,weibull,,,,,
,,commercial refrigeration,High Efficiency Commercial Refrigerated Vending Machines,5.0,15.0,Data used in support of AEO 2015 from the National Energy Modeling System: Input filenames “ktek.txt”,,service demand,kiloBtu,hour,,weibull,,,,,
,,commercial water heating,Commercial Electric Booster Water Heater,3.25,9.75,Data used in support of AEO 2015 from the National Energy Modeling System: Input filenames “ktek.txt”,,service demand,kiloBtu,hour,,weibull,,,,,
,,commercial water heating,Commercial Solar Water Heater with Electric Backup,10.0,30.0,Data used in support of AEO 2015 from the National Energy Modeling System: Input filenames “ktek.txt”,,service demand,kiloBtu,hour,,weibull,,,,,
,,commercial water heating,Commercial Reference Gas Instantaneous Water Heater,10.0,30.0,Data used in support of AEO 2015 from the National Energy Modeling System: Input filenames “ktek.txt”,,service demand,kiloBtu,hour,,weibull,,,,,
,,commercial water heating,Commercial High Efficiency Gas Instantaneous Water Heater,10.0,30.0,Data used in support of AEO 2015 from the National Energy Modeling System: Input filenames “ktek.txt”,,service demand,kiloBtu,hour,,weibull,,,,,
,,commercial water heating,Commercial High Efficiency Gas Booster Water Heater,2.75,8.25,Data used in support of AEO 2015 from the National Energy Modeling System: Input filenames “ktek.txt”,,service demand,kiloBtu,hour,,weibull,,,,,
,,commercial water heating,Commercial  Reference Gas Booster Water Heater,2.75,8.25,Data used in support of AEO 2015 from the National Energy Modeling System: Input filenames “ktek.txt”,,service demand,kiloBtu,hour,,weibull,,,,,
,,commercial water heating,Commercial Reference Gas Storage Water Heater,6.5,19.5,Data used in support of AEO 2015 from the National Energy Modeling System: Input filenames “ktek.txt”,,service demand,kiloBtu,hour,,weibull,,,,,
,,commercial water heating,Commercial High Efficiency Gas Storage Water Heater,6.5,19.5,Data used in support of AEO 2015 from the National Energy Modeling System: Input filenames “ktek.txt”,,service demand,kiloBtu,hour,,weibull,,,,,
,,commercial water heating,Commercial Electric Resistance Storage Water Heater,6.5,19.5,Data used in support of AEO 2015 from the National Energy Modeling System: Input filenames “ktek.txt”,,service demand,kiloBtu,hour,,weibull,,,,,
,,commercial water heating,Commercial Reference Oil Water Heater,6.5,19.5,Data used in support of AEO 2015 from the National Energy Modeling System: Input filenames “ktek.txt”,,service demand,kiloBtu,hour,,weibull,,,,,
,,commercial water heating,Commercial High Efficiency Oil Water Heater,6.5,19.5,Data used in support of AEO 2015 from the National Energy Modeling System: Input filenames “ktek.txt”,,service demand,kiloBtu,hour,,weibull,,,,,
,,medium duty trucks,Reference LPG Medium-Duty Vehicle,10.0,20.0,Based on CNG Vehicle in NPC Advancing Technology for America's Transportation study,Refereence LPG vehicle for class 3-6 freight trucks,equipment,truck,,,weibull,18.3,3.0,,,
,,medium duty trucks,Hybrid Gasoline Medium-Duty Vehicle,10.0,20.0,Based on CNG Vehicle in NPC Advancing Technology for America's Transportation study,Based on hybridization premium and base gasoline truck in ,equipment,truck,,,weibull,18.3,5.0,,,
,,medium duty trucks,Hybrid CNG Medium-Duty Vehicle,10.0,20.0,NPC Advancing Technology for America's Transportation study,Based on hybridization premium and base CNG truck in ,equipment,truck,,,weibull,18.3,5.0,,,
,,medium duty trucks,Hydrogen Fuel Cell Medium-Duty Vehicle,10.0,20.0,ICCT:  Zero Emission Trucks - An Overview of state-of-the-art technologies and their potential,,equipment,truck,,,weibull,18.3,5.0,,,
,,medium duty trucks,Battery Electric Medium-Duty Vehicle,10.0,20.0,NREL ADOPT Model,Updated on 2017-04-21 as part of the NREL project,equipment,truck,,,weibull,18.3,5.0,,,
,,heavy duty trucks,Reference Diesel Heavy-Duty Vehicle,10.0,20.0,NPC Advancing Technology for America's Transportation study,,equipment,truck,,,weibull,,,,,
,,heavy duty trucks,Diesel Hybrid Heavy-Duty Vehicle,10.0,20.0,NPC Advancing Technology for America's Transportation study,,equipment,truck,,,weibull,,,,,
,,heavy duty trucks,LNG Heavy-Duty Vehicle,10.0,20.0,NPC Advancing Technology for America's Transportation study,,equipment,truck,,,weibull,,,,,
,,heavy duty trucks,LNG Hybrid Heavy-Duty Vehicle,10.0,20.0,NPC Advancing Technology for America's Transportation study,Efficiency advantage and cost premium from diesel hybrid applied to baseline LNG,equipment,truck,,,weibull,,,,,
,,heavy duty trucks,Hydrogen FCV Heavy-Duty Vehicle,10.0,20.0,http://steps.ucdavis.edu/files/06-11-2015-STEPS-NCST-Low-carbon-Trucks-in-US-06-10-2015.pdf,,equipment,truck,,,weibull,,,,,
,,heavy duty trucks,Reference Gasoline Heavy-Duty Vehicle,10.0,20.0,AEO 2015; NPC Advancing Technology for America's Transportation study - costs,Uses reference diesel as baseline vehicle,equipment,truck,,,weibull,,,,,
,,heavy duty trucks,Reference Propane Heavy-Duty Vehicle,10.0,20.0,AEO 2015; NPC Advancing Technology for America's Transportation study - costs,Uses reference diesel as baseline vehicle,equipment,truck,,,weibull,,,,,
,,light duty autos,Reference Gasoline Light-Duty Auto,10.0,20.0,"AEO 2015; National Academies Press, Transition to Alternative Vehicles and Fuels",,equipment,car,,,weibull,,,,,
,,light duty autos,Electric Light-Duty Auto - 200 mile range,10.0,20.0,NREL ADOPT Model,"Updated on 2017-04-21 as part of the NREL project and replaced the origional ""Electric Light-Duty Auto""",equipment,car,,,weibull,,,,,
,,light duty autos,PHEV - 50 mile range - Light Duty Auto,10.0,20.0,NREL ADOPT Model,"Updated on 2017-04-21 as part of the NREL project and replaced the origional ""PHEV - 80 mile range - Light Duty Auto""",equipment,car,,,weibull,,,,,
,,light duty autos,PHEV - 25 mile range - Light Duty Auto,10.0,20.0,NREL ADOPT Model,"Updated on 2017-04-21 as part of the NREL project and replaced the origional ""PHEV - 40 mile range - Light Duty Auto""",equipment,car,,,weibull,,,,,
,,light duty autos,CNG Light-Duty Auto,10.0,20.0,"AEO 2015; National Academies Press, Transition to Alternative Vehicles and Fuels",,equipment,car,,,weibull,,,,,
,,light duty autos,Propane ICE Light-Duty Auto,10.0,20.0,"AEO 2015; National Academies Press, Transition to Alternative Vehicles and Fuels",,equipment,car,,,weibull,,,,,
,,light duty autos,Hydrogen Fuel-Cell Light-Duty Auto,10.0,20.0,"National Academies Press, Transition to Alternative Vehicles and Fuels",,equipment,car,,,weibull,,,,,
,,light duty autos,Diesel - Electric Hybrid Light-Duty Auto,10.0,20.0,"AEO 2015; National Academies Press, Transition to Alternative Vehicles and Fuels",,equipment,car,,,weibull,,,,,
,,light duty autos,Gasoline-Electric Hybrid Light-Duty Auto,10.0,20.0,"AEO 2015; National Academies Press, Transition to Alternative Vehicles and Fuels",,equipment,car,,,weibull,,,,,
,,light duty autos,Reference TDI Light-Duty Auto,10.0,20.0,"AEO 2015; National Academies Press, Transition to Alternative Vehicles and Fuels",,equipment,car,,,weibull,,,,,
,,light duty trucks,Reference Gasoline Light-Duty Truck,10.0,20.0,"AEO 2015; National Academies Press, Transition to Alternative Vehicles and Fuels",,equipment,car,,,weibull,,,,,
,,light duty trucks,Electric Light-Duty Truck - 200 mile range,10.0,20.0,NREL ADOPT Model,"Updated on 2017-04-21 as part of the NREL project and replaced the origional ""Electric Light-Duty Truck""",equipment,truck,,,weibull,,,,,
,,light duty trucks,PHEV - Gasoline - 50 mile range - Light Duty Truck,10.0,20.0,NREL ADOPT Model,"Updated on 2017-04-21 as part of the NREL project and replaced the origional ""PHEV - 80 mile range - Light Duty Truck""",equipment,truck,,,weibull,,,,,
,,light duty trucks,PHEV - Gasoline - 25 mile range - Light Duty Truck,10.0,20.0,NREL ADOPT Model,"Updated on 2017-04-21 as part of the NREL project and replaced the origional ""PHEV - 40 mile range - Light Duty Truck""",equipment,truck,,,weibull,,,,,
,,light duty trucks,CNG Light-Duty Truck,10.0,20.0,"National Academies Press, Transition to Alternative Vehicles and Fuels",,equipment,truck,,,weibull,,,,,
,,light duty trucks,Propane ICE Light-Duty Truck,10.0,20.0,"AEO 2015; National Academies Press, Transition to Alternative Vehicles and Fuels",,equipment,truck,,,weibull,,,,,
,,light duty trucks,Hydrogen Fuel-Cell Light-Duty Truck,10.0,20.0,"AEO 2015; National Academies Press, Transition to Alternative Vehicles and Fuels",,equipment,truck,,,weibull,,,,,
,,light duty trucks,Electric - Diesel Hybrid Light-Duty Truck,10.0,20.0,"National Academies Press, Transition to Alternative Vehicles and Fuels",,equipment,truck,,,weibull,,,,,
,,light duty trucks,Electric - Gasoline Hybrid Light-Duty Truck,10.0,20.0,"AEO 2015; National Academies Press, Transition to Alternative Vehicles and Fuels",,equipment,truck,,,weibull,,,,,
,,light duty trucks,Reference TDI Light-Duty Truck,10.0,20.0,"AEO 2015; National Academies Press, Transition to Alternative Vehicles and Fuels",,equipment,truck,,,weibull,,,,,
,,light duty autos,Reference Flex Fuel Light-Duty Auto,10.0,20.0,,,equipment,car,,,weibull,,,,,
,,light duty trucks,Reference Flex-Fuel Light-Duty Truck,10.0,20.0,,,equipment,truck,,,weibull,,,,,
,,residential building shell,Reference Res Building Shell,,,,,equipment,housing shell,,,weibull,50.0,20.0,,,
,,residential building shell,ESTAR Res Building Shell,,,,,equipment,housing shell,,,weibull,20.0,8.0,,,
,,residential building shell,FORTY% Res Building Shell,,,,,equipment,housing shell,,,weibull,20.0,8.0,,,
,,residential building shell,IECC 2009 Res Building Shell,,,,,equipment,housing shell,,,weibull,50.0,20.0,,,
,,residential building shell,No IECC 2009 Res Building Shell,,,,,equipment,housing shell,,,weibull,50.0,20.0,,,
,,residential building shell,PATH Res Building Shell,,,,,equipment,housing shell,,,weibull,50.0,20.0,,,
,,medium duty trucks,Hybrid Diesel Medium-Duty Vehicle,10.0,20.0,Based on CNG Vehicle in NPC Advancing Technology for America's Transportation study,Based on hybridization premium and base diesel truck in ,equipment,truck,,,weibull,18.3,5.0,,,
,,light duty trucks,Autonomous Electric Light-Duty Truck,2.0,4.0,,,equipment,truck,,,weibull,,,,,
,,heavy duty trucks,Electric Heavy Duty Vehicle,10.0,20.0,NREL ADOPT Model,Updated on 2017-04-21 as part of the NREL project,equipment,truck,,,weibull,,,,,
,,Industrial Space Heating,Reference Industrial Natural Gas Furnace,7.5,22.5,Data used in support of AEO 2015 from the National Energy Modeling System: Input filenames “ktek.txt”,Updated on 5/26/2017 as part of NREL EFS; Uses commercial heating values for industrial heating,equipment,kbtu,hour,,weibull,,,,,
,,Industrial Space Heating,High Efficiency Natural Gas HVAC,7.5,22.5,Data used in support of AEO 2015 from the National Energy Modeling System: Input filenames “ktek.txt”,Updated on 5/26/2017 as part of NREL EFS; Uses commercial heating values for industrial heating,equipment,kbtu,hour,,weibull,,,,,
,,Industrial Space Heating,Reference Industrial Air Source Heat Pump,7.5,22.5,Data used in support of AEO 2015 from the National Energy Modeling System: Input filenames “ktek.txt”,Updated on 5/26/2017 as part of NREL EFS; Uses commercial heating values for industrial heating,equipment,kbtu,hour,,weibull,,,,,
,,Industrial Space Heating,High Efficiency Industrial Air Source Heat Pump,7.5,22.5,Data used in support of AEO 2015 from the National Energy Modeling System: Input filenames “ktek.txt”,Updated on 5/26/2017 as part of NREL EFS; Uses commercial heating values for industrial heating,equipment,kbtu,hour,,weibull,,,,,
,,Industrial Boilers,Industrial Residual Fuel Oil Oil Boiler,20.0,40.0,,Updated on 5/26/2017 as part of NREL EFS;,equipment,kbtu,hour,,weibull,,,,,
,,Industrial Boilers,Industrial Coal Boiler,20.0,40.0,,Updated on 5/26/2017 as part of NREL EFS;,equipment,kbtu,hour,,weibull,,,,,
,,Industrial Boilers,Industrial Distillate Fuel Oil Boiler,20.0,40.0,,Updated on 5/26/2017 as part of NREL EFS;,equipment,kbtu,hour,,weibull,,,,,
,,Industrial Boilers,Industrial Pipeline Gas Boiler,20.0,40.0,,Updated on 5/26/2017 as part of NREL EFS;,equipment,kbtu,hour,,weibull,,,,,
,,Industrial Boilers,Electric Boiler,20.0,40.0,,Updated on 5/26/2017 as part of NREL EFS;,equipment,kbtu,hour,,weibull,,,,,
,,Industrial Boilers,Industrial Petroleum Coke Boiler,20.0,40.0,,Updated on 5/26/2017 as part of NREL EFS;,equipment,kbtu,hour,,weibull,,,,,
,,Industrial Boilers,Industrial LPG Boiler,20.0,40.0,,Updated on 5/26/2017 as part of NREL EFS;,equipment,kbtu,hour,,weibull,,,,,
,,Industrial Boilers,Industrial Other Petroleum Boiler,20.0,40.0,,Updated on 5/26/2017 as part of NREL EFS;,equipment,kbtu,hour,,weibull,,,,,
,,Industrial Process Heat,Industrial Induction Furnace,20.0,40.0,,Updated on 5/26/2017 as part of NREL EFS;,equipment,kbtu,hour,,weibull,,,,,
,,Industrial Process Heat,Industrial Process Heat  - Heat Pump,20.0,40.0,,Updated on 5/26/2017 as part of NREL EFS;,equipment,kbtu,hour,,weibull,,,,,
,,Industrial Process Heat,Industrial Distillate Oven/Furnace,20.0,40.0,,Updated on 5/26/2017 as part of NREL EFS;,equipment,kbtu,hour,,weibull,,,,,
,,Industrial Process Heat,Industrial LPG Oven/Furnace,20.0,40.0,,Updated on 5/26/2017 as part of NREL EFS;,equipment,kbtu,hour,,weibull,,,,,
,,Industrial Process Heat,Industrial Gas Oven/Furnace,20.0,40.0,,Updated on 5/26/2017 as part of NREL EFS;,equipment,kbtu,hour,,weibull,,,,,
,,Industrial Process Heat,Industrial Other Petroleum Oven/Furnace,20.0,40.0,,Updated on 5/26/2017 as part of NREL EFS;,equipment,kbtu,hour,,weibull,,,,,
,,Industrial Process Heat,Industrial Residual Fuel Oil Oven/Furnace,20.0,40.0,,Updated on 5/26/2017 as part of NREL EFS;,equipment,kbtu,hour,,weibull,,,,,
,,Industrial Process Heat,Industrial Electric Resistance Heat/Melt,20.0,40.0,,Updated on 5/26/2017 as part of NREL EFS;,equipment,kbtu,hour,,weibull,,,,,
,,Industrial Process Heat,Industrial Coal Oven/Furnace,20.0,40.0,,Updated on 5/26/2017 as part of NREL EFS;,equipment,kbtu,hour,,weibull,,,,,
,,Industrial Machine Drives,Electric Machine Drive,20.0,40.0,,Updated on 5/26/2017 as part of NREL EFS;,equipment,kbtu,hour,,weibull,,,,,
,,Industrial Machine Drives,Natural Gas Machine Drive,20.0,40.0,,Updated on 5/26/2017 as part of NREL EFS;,equipment,kbtu,hour,,weibull,,,,,
,,Industrial Machine Drives,LPG Machine Drive,20.0,40.0,,Updated on 5/26/2017 as part of NREL EFS;,equipment,kbtu,hour,,weibull,,,,,
,,Industrial Machine Drives,Distillate Machine Drive,20.0,40.0,,Updated on 5/26/2017 as part of NREL EFS;,equipment,kbtu,hour,,weibull,,,,,
,,light duty autos,Electric Light-Duty Auto - 100 mile range,10.0,20.0,NREL ADOPT Model,Updated on 2017-04-21 as part of the NREL project,equipment,car,,,weibull,,,,,
,,light duty autos,Electric Light-Duty Auto - 300 mile range,10.0,20.0,NREL ADOPT Model,Updated on 2017-04-21 as part of the NREL project,equipment,car,,,weibull,,,,,
,,light duty trucks,Electric Light-Duty Truck - 100 mile range,10.0,20.0,NREL ADOPT Model,Updated on 2017-04-21 as part of the NREL project,equipment,truck,,,weibull,,,,,
,,transit buses,Electric Transit bus,8.0,12.0,NREL ADOPT Model,"Updated on 2017-04-21 as part of the NREL project, bus lifecycle https://ntl.bts.gov/lib/44000/44200/44244/Bus_Lifecycle_Cost_Model_User_s_Guide.pdf",equipment,bus,,,weibull,,,,,
,,transit buses,Diesel Transit bus,8.0,12.0,NREL ADOPT Model,"Updated on 2017-04-21 as part of the NREL project, bus lifecycle https://ntl.bts.gov/lib/44000/44200/44244/Bus_Lifecycle_Cost_Model_User_s_Guide.pdf",equipment,bus,,,weibull,,,,,
,,transit buses,CNG Transit bus,8.0,12.0,NREL ADOPT Model,"Updated on 2017-04-21 as part of the NREL project, bus lifecycle https://ntl.bts.gov/lib/44000/44200/44244/Bus_Lifecycle_Cost_Model_User_s_Guide.pdf",equipment,bus,,,weibull,,,,,
,,transit buses,Hybrid electric Transit bus,8.0,12.0,NREL ADOPT Model,"Updated on 2017-04-21 as part of the NREL project, bus lifecycle https://ntl.bts.gov/lib/44000/44200/44244/Bus_Lifecycle_Cost_Model_User_s_Guide.pdf",equipment,bus,,,weibull,,,,,
,,transit buses,Gasoline Transit Bus,8.0,12.0,Based on Diesel Bus from NREL ADOPT Model,"Updated on 2017-04-24 as part of the NREL project, bus lifecycle https://ntl.bts.gov/lib/44000/44200/44244/Bus_Lifecycle_Cost_Model_User_s_Guide.pdf",equipment,bus,,,weibull,,,,,
,,commercial building shell,Commercial Building Shell,,,Based on AEO Commercial Building Retirement Estimates,Updated on 2017 - 06 -27 as part of NREL Project,equipment,sq. ft,,,weibull,60.0,20.0,,,
,,residential space heating,Gas Wall Heater,10.0,20.0,http://www.house-energy.com/Heaters/GasHeater.html,,equipment,heating unit,,,weibull,,,,,
,,commercial cooking,"Range, Fue oil, 4 burner, oven, 11"" griddle",5.0,15.0,Data used in support of AEO 2015 from the National Energy Modeling System: Input filenames “ktek.txt”,,service demand,kiloBtu,hour,,weibull,,,,,
,,commercial cooking,"Range, Fuel Oil, 4 powered burners, convect. oven, 11"" griddle",5.0,15.0,Data used in support of AEO 2015 from the National Energy Modeling System: Input filenames “ktek.txt”,,service demand,kiloBtu,hour,,weibull,,,,,
Ductless Mini-Split Heat Pump - Cooling,1.0,residential space heating,Ductless Mini-Split Heat Pump - Heating,,,https://www1.eere.energy.gov/buildings/publications/pdfs/building_america/minisplit_multifamily_retrofit.pdf,,equipment,heating unit,,,weibull,16.0,4.0,reference_heat_pump_heating_res,,
Through-the-wall Heat Pump - Cooling,1.0,residential space heating,Through-the-wall Heat Pump - Heating,,,https://www1.eere.energy.gov/buildings/publications/pdfs/building_america/minisplit_multifamily_retrofit.pdf,,equipment,heating unit,,,weibull,10.0,2.5,reference_heat_pump_heating_res,,
,,residential air conditioning,Ductless Mini-Split Heat Pump - Cooling,,,https://www1.eere.energy.gov/buildings/publications/pdfs/building_america/minisplit_multifamily_retrofit.pdf,,equipment,air conditioning unit,,,weibull,16.0,4.0,reference_heat_pump_cooling_res,,
,,residential air conditioning,Through-the-wall Heat Pump - Cooling,,,https://www1.eere.energy.gov/buildings/publications/pdfs/building_america/minisplit_multifamily_retrofit.pdf,,equipment,air conditioning unit,,,weibull,10.0,2.5,reference_heat_pump_cooling_res,,
,,commercial space heating,Commercial Electric Boiler,7.5,22.5,Data used in support of AEO 2015 from the National Energy Modeling System: Input filenames “ktek.txt”,,service demand,kiloBtu,hour,,weibull,,,boiler_com,,
,,commercial air conditioning,Reference Reciprocating Chiller,10.0,30.0,Data used in support of AEO 2015 from the National Energy Modeling System: Input filenames “ktek.txt”,,service demand,kiloBtu,hour,,weibull,,,chiller_com,,
,,commercial air conditioning,Reference Commercial Gas Engine-Driven Chiller,11.5,34.5,Data used in support of AEO 2015 from the National Energy Modeling System: Input filenames “ktek.txt”,,service demand,kiloBtu,hour,,weibull,,,chiller_com,,
,,commercial water heating,Commercial Reference Heat Pump Storage Water Heater (with flex cost),6.5,19.5,Data used in support of AEO 2015 from the National Energy Modeling System: Input filenames “ktek.txt”,,service demand,kiloBtu,hour,,weibull,,,,,
,,commercial water heating,Commercial High Efficiency Heat Pump Storage Water Heater (with flex cost),6.5,19.5,Data used in support of AEO 2015 from the National Energy Modeling System: Input filenames “ktek.txt”,,service demand,kiloBtu,hour,,weibull,,,,,
,,commercial water heating,Commercial Electric Resistance Storage Water Heater (with flex cost),6.5,19.5,Data used in support of AEO 2015 from the National Energy Modeling System: Input filenames “ktek.txt”,,service demand,kiloBtu,hour,,weibull,,,,,
,,commercial space heating,Electric Resistance Heat (with flex cost),9.0,27.0,Data used in support of AEO 2015 from the National Energy Modeling System: Input filenames “ktek.txt”,,service demand,kiloBtu,hour,,weibull,,,,,
,,commercial space heating,Commercial Electric Boiler (with flex cost),7.5,22.5,Data used in support of AEO 2015 from the National Energy Modeling System: Input filenames “ktek.txt”,,service demand,kiloBtu,hour,,weibull,,,boiler_com,,
,,commercial air conditioning,Reference Commercial Air Source Heat Pump - Cooling (with flex cost),7.5,22.5,Data used in support of AEO 2015 from the National Energy Modeling System: Input filenames “ktek.txt”,,service demand,kiloBtu,hour,,weibull,,,,,
,,commercial air conditioning,High Efficiency Commercial Air Source Heat Pump - Cooling (with flex cost),7.5,22.5,Data used in support of AEO 2015 from the National Energy Modeling System: Input filenames “ktek.txt”,,service demand,kiloBtu,hour,,weibull,,,,,
,,commercial air conditioning,Reference Commercial Ground Source Heat Pump -Cooling (with flex cost),12.5,37.5,Data used in support of AEO 2015 from the National Energy Modeling System: Input filenames “ktek.txt”,,service demand,kiloBtu,hour,,weibull,,,,,
,,commercial air conditioning,Reference Scroll Chiller (with flex cost),10.0,30.0,Data used in support of AEO 2015 from the National Energy Modeling System: Input filenames “ktek.txt”,,service demand,kiloBtu,hour,,weibull,,,chiller_com,,
,,commercial air conditioning,High Efficiency Scroll Chiller (with flex cost),10.0,30.0,Data used in support of AEO 2015 from the National Energy Modeling System: Input filenames “ktek.txt”,,service demand,kiloBtu,hour,,weibull,,,chiller_com,,
,,commercial air conditioning,Reference Screw Chiller (with flex cost),10.0,30.0,Data used in support of AEO 2015 from the National Energy Modeling System: Input filenames “ktek.txt”,,service demand,kiloBtu,hour,,weibull,,,chiller_com,,
,,commercial air conditioning,High Efficiency Screw Chiller (with flex cost),10.0,30.0,Data used in support of AEO 2015 from the National Energy Modeling System: Input filenames “ktek.txt”,,service demand,kiloBtu,hour,,weibull,,,chiller_com,,
,,commercial air conditioning,Reference Reciprocating Chiller (with flex cost),10.0,30.0,Data used in support of AEO 2015 from the National Energy Modeling System: Input filenames “ktek.txt”,,service demand,kiloBtu,hour,,weibull,,,chiller_com,,
,,commercial air conditioning,High Efficiency Reciprocating Chiller (with flex cost),10.0,30.0,Data used in support of AEO 2015 from the National Energy Modeling System: Input filenames “ktek.txt”,,service demand,kiloBtu,hour,,weibull,,,chiller_com,,
,,commercial air conditioning,Reference Centrifugal Chiller (with flex cost),12.5,37.5,Data used in support of AEO 2015 from the National Energy Modeling System: Input filenames “ktek.txt”,,service demand,kiloBtu,hour,,weibull,,,chiller_com,,
,,Industrial Drying,Industrial Distillate Oven/Furnace,20.0,40.0,,Updated on 5/26/2017 as part of NREL EFS;,equipment,kbtu,hour,,weibull,,,,,
,,commercial air conditioning,High Efficiency Centrifugal Chiller (with flex cost),12.5,37.5,Data used in support of AEO 2015 from the National Energy Modeling System: Input filenames “ktek.txt”,,service demand,kiloBtu,hour,,weibull,,,chiller_com,,
,,commercial air conditioning,High Efficiency Commercial Ground Source Heat Pump - Cooling (with flex cost),12.5,37.5,Data used in support of AEO 2015 from the National Energy Modeling System: Input filenames “ktek.txt”,,service demand,kiloBtu,hour,,weibull,,,,,
Reference Commercial Ground Source Heat Pump -Cooling (with flex cost),1.0,commercial space heating,Reference Commercial Ground Source Heat Pump - Heating (with flex cost),12.5,37.5,Data used in support of AEO 2015 from the National Energy Modeling System: Input filenames “ktek.txt”,,service demand,kiloBtu,hour,,weibull,,,,,
Reference Commercial Air Source Heat Pump - Cooling (with flex cost),1.0,commercial space heating,Reference Commercial Air Source Heat Pump - Heating (with flex cost),7.5,22.5,Data used in support of AEO 2015 from the National Energy Modeling System: Input filenames “ktek.txt”,,service demand,kiloBtu,hour,,weibull,,,,,
High Efficiency Commercial Ground Source Heat Pump - Cooling (with flex cost),1.0,commercial space heating,High Efficiency Commercial Ground Source Heat Pump - Heating (with flex cost),12.5,37.5,Data used in support of AEO 2015 from the National Energy Modeling System: Input filenames “ktek.txt”,,service demand,kiloBtu,hour,,weibull,,,,,
,,commercial air conditioning,Reference Rooftop Air Conditioner (with flex cost),7.5,22.5,Data used in support of AEO 2015 from the National Energy Modeling System: Input filenames “ktek.txt”,,service demand,kiloBtu,hour,,weibull,,,reference_central_ac_res,,
,,commercial air conditioning,High Efficiency Rooftop Air Conditioner (with flex cost),7.5,22.5,Data used in support of AEO 2015 from the National Energy Modeling System: Input filenames “ktek.txt”,,service demand,kiloBtu,hour,,weibull,,,high_efficiency_central_ac_res,,
,,commercial lighting,8ft LFL: T8 F59 HE,,,"AEO 2017, ""ktek.csv""",Updated on 10/10/2017 as part of NREL Powerup study,service demand,kilolumen_hour,hour,,weibull,6.028,1.507,,,
,,commercial air conditioning,Reference Wall/Room Air Conditioner (with flex cost),4.75,14.25,Data used in support of AEO 2015 from the National Energy Modeling System: Input filenames “ktek.txt”,,service demand,kiloBtu,hour,,weibull,,,reference_room_ac_res,,
,,commercial air conditioning,High Efficiency Wall/Room Air Conditioner (with flex cost),4.75,14.25,Data used in support of AEO 2015 from the National Energy Modeling System: Input filenames “ktek.txt”,,service demand,kiloBtu,hour,,weibull,,,high_efficiency_room_ac_res,,
,,commercial air conditioning,Reference Commercial Central Air Conditioner (with flex cost),9.0,27.0,Data used in support of AEO 2015 from the National Energy Modeling System: Input filenames “ktek.txt”,,service demand,kiloBtu,hour,,weibull,,,,,
,,commercial air conditioning,High Efficiency Commercial Central Air Conditioner (with flex cost),9.0,27.0,Data used in support of AEO 2015 from the National Energy Modeling System: Input filenames “ktek.txt”,,service demand,kiloBtu,hour,,weibull,,,,,
,,commercial refrigeration,Reference Commercial Walk-in Refrigerators (with flex cost),5.5,16.5,Data used in support of AEO 2015 from the National Energy Modeling System: Input filenames “ktek.txt”,,service demand,kiloBtu,hour,,weibull,,,,,
,,commercial refrigeration,High Efficiency Commercial Walk-in Refrigerators (with flex cost),5.5,16.5,Data used in support of AEO 2015 from the National Energy Modeling System: Input filenames “ktek.txt”,,service demand,kiloBtu,hour,,weibull,,,,,
,,commercial refrigeration,Reference Commercial Walk-in Freezers (with flex cost),5.5,16.5,Data used in support of AEO 2015 from the National Energy Modeling System: Input filenames “ktek.txt”,,service demand,kiloBtu,hour,,weibull,,,,,
,,commercial refrigeration,High Efficiency Commercial Walk-in Freezers (with flex cost),5.5,16.5,Data used in support of AEO 2015 from the National Energy Modeling System: Input filenames “ktek.txt”,,service demand,kiloBtu,hour,,weibull,,,,,
,,commercial refrigeration,Reference Commercial Reach-in Refrigerators (with flex cost),7.5,22.5,Data used in support of AEO 2015 from the National Energy Modeling System: Input filenames “ktek.txt”,,service demand,kiloBtu,hour,,weibull,,,,,
,,commercial refrigeration,High Efficiency Commercial Reach-in Refrigerators (with flex cost),7.5,22.5,Data used in support of AEO 2015 from the National Energy Modeling System: Input filenames “ktek.txt”,,service demand,kiloBtu,hour,,weibull,,,,,
,,commercial refrigeration,Reference Commercial Reach-in Freezers (with flex cost),7.5,22.5,Data used in support of AEO 2015 from the National Energy Modeling System: Input filenames “ktek.txt”,,service demand,kiloBtu,hour,,weibull,,,,,
,,commercial refrigeration,High Efficiency Commercial Reach-in Freezers (with flex cost),7.5,22.5,Data used in support of AEO 2015 from the National Energy Modeling System: Input filenames “ktek.txt”,,service demand,kiloBtu,hour,,weibull,,,,,
